Compound,k2,log_k2,Source,Notes,SMILES
T0348 + TCO,39866220074.93963,10.600605059880662,Svatunek computational data,Calculated from ΔG‡ = 12.52 kJ/mol,FC(F)(F)c2nnc(c1ccc(O)cc1)nn2
T0611 + TCO,39805713627.68666,10.599945414256608,Svatunek computational data,Calculated from ΔG‡ = 12.52 kJ/mol,CC(=C)c2nnc(c1ncncn1)nn2
T1352 + TCO,39805713627.68666,10.599945414256608,Svatunek computational data,Calculated from ΔG‡ = 12.52 kJ/mol,c1(NC)ccccc1c2nnc(C(F)(F)F)nn2
T0562 + TCO,39705073552.60935,10.598846004876933,Svatunek computational data,Calculated from ΔG‡ = 12.53 kJ/mol,COC(=C)c2nncnn2
T1166 + TCO,39654848972.469955,10.598296300183971,Svatunek computational data,Calculated from ΔG‡ = 12.53 kJ/mol,CC(=O)c2nnc(c1occc1)nn2
T0808 + TCO,39524562191.89452,10.596867068011017,Svatunek computational data,Calculated from ΔG‡ = 12.54 kJ/mol,NC(=O)c2nnc(C=C)nn2
T1359 + TCO,39364796712.38673,10.595108013001036,Svatunek computational data,Calculated from ΔG‡ = 12.55 kJ/mol,c1(NC)ccccc1c2nnc(C(=O)OC)nn2
T0089 + TCO,39315002564.11133,10.594558308326823,Svatunek computational data,Calculated from ΔG‡ = 12.55 kJ/mol,n1cccnc1c2nnc(c1cnccc1)nn2
T1291 + TCO,39215603143.362015,10.5934588989284,Svatunek computational data,Calculated from ΔG‡ = 12.56 kJ/mol,CC(=O)Nc2nnc(c1ncncn1)nn2
T0051 + TCO,39106554022.464935,10.592249548630132,Svatunek computational data,Calculated from ΔG‡ = 12.56 kJ/mol,c1cccnc1c2nnc(Cl)nn2
T0995 + TCO,38810686116.00834,10.588951320497356,Svatunek computational data,Calculated from ΔG‡ = 12.58 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(F)nn2
T1091 + TCO,38781222719.201744,10.58862149767283,Svatunek computational data,Calculated from ΔG‡ = 12.58 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(c1ncccc1)nn2
T1300 + TCO,38604911464.16469,10.586642560788166,Svatunek computational data,Calculated from ΔG‡ = 12.6 kJ/mol,CC(=O)Nc2nnc(C(F)F)nn2
T1061 + TCO,38595139931.993774,10.586532619863322,Svatunek computational data,Calculated from ΔG‡ = 12.6 kJ/mol,c1cc(OC)ccc1c2nnc(C(F)(F)F)nn2
T0291 + TCO,38312838828.86769,10.58334433266789,Svatunek computational data,Calculated from ΔG‡ = 12.61 kJ/mol,FCc2nnc(c1cncnc1)nn2
T0288 + TCO,38003729886.56067,10.579826222660431,Svatunek computational data,Calculated from ΔG‡ = 12.63 kJ/mol,FCc2nnc(c1ccncc1)nn2
T0783 + TCO,37658962312.06541,10.5758683489161,Svatunek computational data,Calculated from ΔG‡ = 12.66 kJ/mol,NC(=O)c2nnc(CC)nn2
T1210 + TCO,37544736240.62917,10.574549057667989,Svatunek computational data,Calculated from ΔG‡ = 12.66 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(C(OC)=C)nn2
T0328 + TCO,37516233899.37592,10.574219234855962,Svatunek computational data,Calculated from ΔG‡ = 12.67 kJ/mol,FC(F)(F)c2nnc(CC)nn2
T1238 + TCO,37336220869.31342,10.572130357033954,Svatunek computational data,Calculated from ΔG‡ = 12.68 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(c1ncccn1)nn2
